,nome_marca,id_marca,nome_modelo,id_modelo
0,Acura,1,Integra GS 1.8,1
1,Acura,1,Legend 3.2/3.5,2
2,Acura,1,NSX 3.0,3
3,Agrale,2,MARRUÁ 2.8 12V 132cv TDI Diesel,4
4,Agrale,2,MARRUÁ AM 100 2.8  CS TDI Diesel,4564
5,Agrale,2,MARRUÁ AM 100 2.8 CD TDI Diesel,4563
6,Agrale,2,MARRUÁ AM 150 2.8  CS TDI Diesel,4566
7,Agrale,2,MARRUÁ AM 150 2.8 CD TDI Diesel,4565
8,Agrale,2,MARRUÁ AM 200 2.8  CD TDI Diesel,4567
9,Agrale,2,MARRUÁ AM 200 2.8 CS TDI Diesel,4568
10,Agrale,2,MARRUÁ AM 50 2.8 140cv TDI Diesel,4569
11,Alfa Romeo,3,145 Elegant 1.7/1.8 16V,5
12,Alfa Romeo,3,145 Elegant 2.0 16V,6
13,Alfa Romeo,3,145 Quadrifoglio 2.0,7
14,Alfa Romeo,3,145 QV,8
15,Alfa Romeo,3,147 2.0 16V 148cv 4p Semi-Aut.,9
16,Alfa Romeo,3,155,10
17,Alfa Romeo,3,155 Super,11
18,Alfa Romeo,3,156 2.5 V6 24V 190cv 4p Aut.,12
19,Alfa Romeo,3,156 Sport Wagon 2.0 16V,13
20,Alfa Romeo,3,156 Sport Wagon 2.5 V6 24V 4p Aut.,14
21,Alfa Romeo,3,156 TS/Sport/Elegant 2.0 16V,15
22,Alfa Romeo,3,164 3.0 V6,16
23,Alfa Romeo,3,164 Super V6 24V,17
24,Alfa Romeo,3,166 3.0 V6 24V,18
25,Alfa Romeo,3,2300 TI/TI-4,19
26,Alfa Romeo,3,Spider 2.0/3.0,20
27,AM Gen,4,Hummer Hard-Top 6.5 4x4 Diesel TB,21
28,AM Gen,4,Hummer Open-Top 6.5 4x4 Diesel TB,22
29,AM Gen,4,Hummer Wagon 6.5 4x4 Diesel TB,23
30,Asia Motors,5,AM-825 Luxo 4.0 Diesel,24
31,Asia Motors,5,AM-825 Super Luxo 4.0 Diesel,25
32,Asia Motors,5,Hi-Topic SLX/SDX/DLX Full Diesel,26
33,Asia Motors,5,Hi-Topic STD Diesel,27
34,Asia Motors,5,Hi-Topic Van 2.7 Diesel (furgão),28
35,Asia Motors,5,Jipe Rocsta GT 4x4 2.2 Diesel,29
36,Asia Motors,5,Topic Carga 2.7 Diesel (furgão),30
37,Asia Motors,5,Topic Luxo Diesel,31
38,Asia Motors,5,Topic Super Luxo Diesel,32
39,Asia Motors,5,Towner Coach Full,33
40,Asia Motors,5,Towner Furgão,34
41,Asia Motors,5,Towner Glass Van,35
42,Asia Motors,5,Towner Luxo,36
43,Asia Motors,5,Towner Multiuso 5p,37
44,Asia Motors,5,Towner Panel Van,38
45,Asia Motors,5,Towner Pick-Up,39
46,Asia Motors,5,Towner SDX / DLX/ STD,40
47,Asia Motors,5,Towner Super Luxo,41
48,Asia Motors,5,Towner Truck,42
49,ASTON MARTIN,189,DB9 Coupe 6.0 V12 510cv,6906
50,ASTON MARTIN,189,DB9 Volante 6.0 V12 470cv,6340
51,ASTON MARTIN,189,Rapide 6.0 V12 477cv,6341
52,ASTON MARTIN,189,Rapide S 6.0 V12 550cv,6907
53,ASTON MARTIN,189,Vanquish V12 6.0 565cv,6909
54,ASTON MARTIN,189,Vantage 6.0 V12 510cv,6342
55,ASTON MARTIN,189,Vantage Coupe 4.7 V8 425cv,6343
56,ASTON MARTIN,189,Vantage Roadster 4.7 V8 420cv,6344
57,ASTON MARTIN,189,Vantage S 6.0 V12 565cv,6908
58,ASTON MARTIN,189,Vantage S Coupe 4.7 V8 430cv,6345
59,ASTON MARTIN,189,Virage Coupe 6.0 V12 490cv,6346
60,Audi,6,100 2.8 V6,43
61,Audi,6,100 2.8 V6 Avant,44
