,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
0,0.8664330455286503,felipe,1014979019,,Vila Bandeirante,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/saveiro-robust-c-s-2020-completa-1014979019,80000,,64900.0,2020,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,,VW - VolksWagen,59,Saveiro Robust 1.6 Total Flex 8V,7566
2,0.7582022224077374,USTULIN MULTIMARCAS,1019184798,,Cabreúva,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fox-xtreme-1019184798,0,Não,62900.0,2019,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX XTREME 1.6 FLEX 8V 5P,Não,VW - VolksWagen,59,Fox Xtreme 1.6 Flex 8V 5p,8113
3,0.9530176720569397,Localiza Seminovos Campo Grande (VCCGR),1023956756,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/compass-2019-2019-2-0-16v-flex-longitude-automatico-1023956756,53380,,120520.0,2019,"Mato Grosso do Sul, MS",MS,JEEP,JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,,Jeep,29,COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.,7759
4,1.1206751449454495,Localiza Seminovos Campo Grande (VCCGR),1026832408,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-2020-2020-1-0-turbo-flex-ltz-automatico-1026832408,55218,,85860.0,2020,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.,,GM - Chevrolet,23,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,8827
5,0.7952497864687589,Letícia,1033844990,Não,Centro,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-hatch-xl-1-3-manual-1033844990,59155,Não,72290.0,2019,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA YARIS XL 1.3 FLEX 16V 5P MEC.,Não,Toyota,56,YARIS XL 1.3 Flex 16V 5p Mec.,8359
7,0.7582197853853271,ALEMÃO - 99912-1150,1042330591,,Vila Carvalho,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-s-design-2020-1042330591,35000,,115000.0,2020,"Mato Grosso do Sul, MS",MS,FIAT,FIAT TORO FREEDOM 1.8 16V FLEX AUT.,,Fiat,21,Toro Freedom 1.8 16V Flex Aut.,7475
9,1.1472066506665344,Localiza Seminovos Campo Grande (VCCGR),1049785983,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-2020-2020-1-0-turbo-flex-plus-lt-manual-1049785983,54090,,76970.0,2020,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,,GM - Chevrolet,23,ONIX SEDAN Plus LT 1.0 12V TB Flex Mec.,8826
10,1.1101584321043574,VANDERLEI,1051952510,Não,Conjunto Aero Rancho,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/c3-exclusive-1-6-automatico-1051952510,120000,Não,40900.0,2014,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN C3 EXCLUSIVE BUS. 1.6 FLEX 5P AUT.(PCD),Não,Citroën,13,C3 Exclusive Bus. 1.6 Flex 5p Aut.(PCD),8392
11,1.0444290184851253,Vale Veículos,1052420235,Não,Centro,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-comfort-style-1-6-impecavel-com-rodas-1052420235,96000,,48900.0,2015,"Mato Grosso do Sul, MS",MS,HYUNDAI,HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,,Hyundai,26,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,6207
12,1.0042441734023033,Localiza Seminovos Campo Grande (VCCGR),1058839082,Não,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-1058839082,55474,,86990.0,2020,"Mato Grosso do Sul, MS",MS,FORD,FORD ECOSPORT STORM 2.0 4WD 16V FLEX 5P AUT.,,Ford,22,EcoSport STORM 2.0 4WD 16V Flex 5p Aut.,8211
