Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1119811,Astra Sedan GLS 2.0 16v,Branca,Gasolina,,12900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-sedan-gls-2-0-16v/00-00/1119811,Federal Car 2," Av. Bandeirantes, 3006 - Nova Bandeirantes - Campo Grande / MS",2000,2000, MS," Av. Bandeirantes, 3006 ", Nova Bandeirantes , Campo Grande ,gm-chevrolet,25/10/2021
1121719,Fiesta Hatch 1.0 4p.,Prata,Flex,,15200.0,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-0-4p/08-09/1121719,Lucas Flavio Nery,Campo Grande - MS,2008,2009,,Campo Grande , MS,,ford,25/10/2021
1124108,Celta Life 1.0 4p.,Preta,Flex,203978.0,15500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/10-10/1124108,Alyne da Silva Amazonas,Campo Grande - MS,2010,2010,,Campo Grande , MS,,gm-chevrolet,25/10/2021
1124137,Fiesta Sedan 1.6,Prata,Gasolina,220000.0,15900.0,https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-6/05-06/1124137,Marcos Marcelino Silva,Campo Grande - MS,2005,2006,,Campo Grande , MS,,ford,25/10/2021
1125059,Civic EX 1.6 16v A/T,Prata,Gasolina,200189.0,16000.0,https://www.shopcar.com.br/veiculos/honda/civic-ex-1-6-16v/00-00/1125059,Marcio Antônio Guimarães,Campo Grande - MS,2000,2000,,Campo Grande , MS,,honda,25/10/2021
1119105,Celta Spirit 1.0 2p.,Prata,Flex,,16700.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-spirit-1-0-2p/09-10/1119105,M.G.R. Veículos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS",2009,2010, MS,"Av. Afonso Pena, 3865 ", Centro , Campo Grande ,gm-chevrolet,25/10/2021
1123791,Fox 1.0 2p.,Preta,Flex,68790.0,16800.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-0-2p/09-10/1123791,Robson Gonçalves Chaparro,Campo Grande - MS,2009,2010,,Campo Grande , MS,,vw-volkswagen,25/10/2021
1121030,Fiesta Sedan 1.6,Preta,Flex,,17500.0,https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-6/06-07/1121030,Jean Carlos da Silva Cunha,Campo Grande - MS,2006,2007,,Campo Grande , MS,,ford,25/10/2021
1124117,Mégane Sedan Privilège 2.0 16v A/T,Prata,Gasolina,156000.0,18000.0,https://www.shopcar.com.br/veiculos/renault/m-gane-sedan-privil-ge-2-0-16v/05-06/1124117,Willian Alves da Mota,Campo Grande - MS,2005,2006,,Campo Grande , MS,,renault,25/10/2021
1124840,Gol 1.0 4p.,Preta,Flex,,18700.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/09-10/1124840,Evaldo Jose Carvalho,Campo Grande - MS,2009,2010,,Campo Grande , MS,,vw-volkswagen,25/10/2021
1078670,Scenic Expression 1.6 16v,Prata,Flex,115000.0,18990.0,https://www.shopcar.com.br/veiculos/renault/scenic-expression-1-6-16v/06-07/1078670,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS",2006,2007, MS,"Av. Pres. Ernesto Geisel, 5721 ", Cabreúva , Campo Grande ,renault,25/10/2021
1094437,C3 Hatch Exclusive 1.4,Prata,Flex,107000.0,19900.0,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-4/10-11/1094437,MGA Motors,"Av. das Bandeiras, 93 - Vila Carvalho - Campo Grande / MS",2010,2011, MS,"Av. das Bandeiras, 93 ", Vila Carvalho , Campo Grande ,citro-n,25/10/2021
1125992,Gol 1.0 4p.,Cinza,Flex,141000.0,19900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/06-06/1125992,Rodrigo Oliveira Barbosa ,Campo Grande - MS,2006,2006,,Campo Grande , MS,,vw-volkswagen,25/10/2021
1124017,Palio Economy 1.0 4p.,Preta,Flex,116000.0,19900.0,https://www.shopcar.com.br/veiculos/fiat/palio-economy-1-0-4p/11-11/1124017,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2011,2011, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,fiat,25/10/2021
1123152,207 Quiksilver 1.6 16v 4p.,Preta,Flex,110000.0,20000.0,https://www.shopcar.com.br/veiculos/peugeot/207-quiksilver-1-6-16v-4p/12-13/1123152,Montana Veículos,"Rua José Antonio, 114 - Vila Rosa Pires - Campo Grande / MS",2012,2013, MS,"Rua José Antonio, 114 ", Vila Rosa Pires , Campo Grande ,peugeot,25/10/2021
1124567,Pampa L 1.6,Cinza,Gasolina,,20000.0,https://www.shopcar.com.br/veiculos/ford/pampa-l-1-6/94-95/1124567,Juliano Bomfim,Campo Grande - MS,1994,1995,,Campo Grande , MS,,ford,25/10/2021
1112370,Logan Expression 1.6,Prata,Flex,,20990.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-6/08-09/1112370,KV Veículos,"R. Alegrete, 2139 - Cel. Antonino - Campo Grande / MS",2008,2009, MS,"R. Alegrete, 2139 ", Cel. Antonino , Campo Grande ,renault,25/10/2021
1125968,Celta Life 1.0 4p.,Preta,Flex,125000.0,21000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/10-10/1125968,Sidinei Scotton,São Gabriel do Oeste - MS,2010,2010,,São Gabriel do Oeste , MS,,gm-chevrolet,25/10/2021
1120172,Corsa Sedan Classic Life 1.0,Preta,Flex,,21000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/09-10/1120172,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2009,2010, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,gm-chevrolet,25/10/2021
1114104,Xsara Picasso GLX 1.6 16v,Preta,Flex,125000.0,21800.0,https://www.shopcar.com.br/veiculos/citro-n/xsara-picasso-glx-1-6-16v/10-11/1114104,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2010,2011, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,citro-n,25/10/2021
1115445,Fox Plus 1.6 4p.,Prata,Flex,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-plus-1-6-4p/07-08/1115445,Mano Motors,"Av. Marcelino Pires, 7355 - Jardim São Francisco - Dourados / MS",2007,2008, MS,"Av. Marcelino Pires, 7355 ", Jardim São Francisco , Dourados ,vw-volkswagen,25/10/2021
1118461,Fusca 1300,Bege,Gasolina,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/69-69/1118461,Pericles Veloso Rodrigues,Campo Grande - MS,1969,1969,,Campo Grande , MS,,vw-volkswagen,25/10/2021
1092153,Fusca 1300 L,Azul,Gasolina,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/76-76/1092153,Moura Automóveis,"Rua Hayel Bon Faker, 1588 - Jardim Água Boa - Dourados / MS",1976,1976, MS,"Rua Hayel Bon Faker, 1588 ", Jardim Água Boa , Dourados ,vw-volkswagen,25/10/2021
1124825,Gol 1.0 4p.,Branca,Flex,177000.0,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/13-13/1124825,Talismã Veículos,"Av. Bandeirantes, 711 - Amambaí - Campo Grande / MS",2013,2013, MS,"Av. Bandeirantes, 711 ", Amambaí , Campo Grande ,vw-volkswagen,25/10/2021
1098687,Gol 1.0 4p.,Preta,Flex,115000.0,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/11-11/1098687,Santa Fé Veículos,"Av. Bandeirantes, 2719 - Vila Jacy - Campo Grande / MS",2011,2011, MS,"Av. Bandeirantes, 2719 ", Vila Jacy , Campo Grande ,vw-volkswagen,25/10/2021
1126501,Gol 1.0 4p.,Prata,Flex,154209.0,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/10-10/1126501,Domenico Motors,"Av. Rodolfo José Pinho, 539 - Jardim São Bento - Campo Grande / MS",2010,2010, MS,"Av. Rodolfo José Pinho, 539 ", Jardim São Bento , Campo Grande ,vw-volkswagen,25/10/2021
1124493,Gol 1.0 4p.,Vermelha,Flex,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/09-10/1124493,Dig Automóveis,"Av. Dorvalino dos Santos, 400 - Centro - Sidrolândia / MS",2009,2010, MS,"Av. Dorvalino dos Santos, 400 ", Centro , Sidrolândia ,vw-volkswagen,25/10/2021
1126835,Gol Trend 1.0 4p.,Branca,Flex,194787.0,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/11-12/1126835,Mclaren Automóveis,"Av. Bandeirantes, 1246 - Vila Bandeirante - Campo Grande / MS",2011,2012, MS,"Av. Bandeirantes, 1246 ", Vila Bandeirante , Campo Grande ,vw-volkswagen,25/10/2021
1108965,Gol Trend 1.0 4p.,Cinza,Flex,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/10-10/1108965,Auto Flex Veículos,"Av. Weimar G. Torres, 3192 - Centro - Dourados / MS",2010,2010, MS,"Av. Weimar G. Torres, 3192 ", Centro , Dourados ,vw-volkswagen,25/10/2021
1122648,Golf 2.0,Branca,Gasolina,,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-2-0/00-01/1122648,Jolemar Veículos,"Av. Bandeirantes, 2822 - Nova Bandeirantes - Campo Grande / MS",2000,2001, MS,"Av. Bandeirantes, 2822 ", Nova Bandeirantes , Campo Grande ,vw-volkswagen,25/10/2021
1080180,Golf Generation 1.6,Preta,Gasolina,183000.0,24900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-generation-1-6/05-05/1080180,Capital Motors,"Rua Rui Barbosa, 131 - Jardim Paulista - Campo Grande / MS",2005,2005, MS,"Rua Rui Barbosa, 131 ", Jardim Paulista , Campo Grande ,vw-volkswagen,25/10/2021
1126214,Ka 1.0,Vermelha,Flex,52000.0,24900.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/13-13/1126214,Cobi Motors,"Rua Alegrete, 2140 - Coronel Antonino - Campo Grande / MS",2013,2013, MS,"Rua Alegrete, 2140 ", Coronel Antonino , Campo Grande ,ford,25/10/2021
1123400,Linea Absolute 1.9 16v Dualogic,Cinza,Flex,108220.0,24900.0,https://www.shopcar.com.br/veiculos/fiat/linea-absolute-1-9-16v-dualogic/09-10/1123400,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS",2009,2010, MS,"Rua Brilhante, 1925 ", Nova Bandeirante , Campo Grande ,fiat,25/10/2021
1126380,Livina 1.8 16v A/T,Prata,Flex,140304.0,24900.0,https://www.shopcar.com.br/veiculos/nissan/livina-1-8-16v/09-10/1126380,MS Motors,"Av. Manoel da Costa Lima, 1833 - Vila Piratininga - Campo Grande / MS",2009,2010, MS,"Av. Manoel da Costa Lima, 1833 ", Vila Piratininga , Campo Grande ,nissan,25/10/2021
1069031,Logan Expression 1.0 16v,Branca,Flex,94000.0,24900.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-0-16v/13-13/1069031,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS",2013,2013, MS,"Rua Brilhante, 1925 ", Nova Bandeirante , Campo Grande ,renault,25/10/2021
1096160,Logan Expression 1.6,Prata,Flex,,24900.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-6/11-11/1096160,Aliança Veículos (Dourados),"Rua Hayel Bon faker, 798 - Jardim Água Boa - Dourados / MS",2011,2011, MS,"Rua Hayel Bon faker, 798 ", Jardim Água Boa , Dourados ,renault,25/10/2021
1124138,Mégane Sedan Dynamique 1.6 16v,Cinza,Flex,,24900.0,https://www.shopcar.com.br/veiculos/renault/m-gane-sedan-dynamique-1-6-16v/07-08/1124138,D2 Automóveis,"Av. Manoel da Costa Lima, 2251 - Piratininga - Campo Grande / MS",2007,2008, MS,"Av. Manoel da Costa Lima, 2251 ", Piratininga , Campo Grande ,renault,25/10/2021
1124061,Palio 1.0 Fire 4p.,Cinza,Flex,150306.0,24900.0,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/10-10/1124061,Premium Auto Car,"Av. Ricardo Brandão, 778 - Itanhangá Park - Campo Grande / MS",2010,2010, MS,"Av. Ricardo Brandão, 778 ", Itanhangá Park , Campo Grande ,fiat,25/10/2021
1125335,Palio 1.0 Fire 4p.,Prata,Flex,,24900.0,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/09-10/1125335,Central Veículos,"Av. Bandeirantes, 1395 - Vila Taquarussú - Campo Grande / MS",2009,2010, MS,"Av. Bandeirantes, 1395 ", Vila Taquarussú , Campo Grande ,fiat,25/10/2021
1113538,Palio Celebration Economy 1.0 4p.,Preta,Flex,187000.0,24900.0,https://www.shopcar.com.br/veiculos/fiat/palio-celebration-economy-1-0-4p/10-11/1113538,Central Veículos,"Av. Bandeirantes, 1395 - Vila Taquarussú - Campo Grande / MS",2010,2011, MS,"Av. Bandeirantes, 1395 ", Vila Taquarussú , Campo Grande ,fiat,25/10/2021
