,index,car_features,carcolor,category,doors,exchange,financial,mileage,regdate,vehicle_model,anuncio_id_olx,link_anuncio_olx,car_steering,cartype,end_tag,fuel,gearbox,motorpower,owner,vehicle_brand
0,0,Som,Outra,"Carros, vans e utilitários",2 portas,Sim,IPVA Pago,80000,1980, ,964107573,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fusca-79-964107573,,,,,,,,
1,0,"Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Prata,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,115000,2014,GM - CHEVROLET CORSA HAT. JOY 1.0/ 1.0 FLEXPOWER 8V 5P,964106958,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-troca-964106958,Hidráulica,Sedã,3,Flex,Manual,1.0,Não,GM - CHEVROLET
2,0,,,"Carros, vans e utilitários",4 portas,,,39945,2020,CHERY TIGGO 5X T 1.5 16V TURBO FLEX AUT.,957384683,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-5x-1-5-vvt-turbo-iflex-t-957384683,,Passeio,2,Flex,Automático,,,CHERY
3,0,"Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Som",Branco,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,49472,2019,TOYOTA HILUX CD 4X4 2.8 DIESEL MEC.,947992558,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hilux-cd-std-power-pack-2-8-manual-4x4-diesel-modelo-2019-947992558,Hidráulica,Pick-up,1,Diesel,Manual,2.0 - 2.9,Sim,TOYOTA
4,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Alarme, Som, Câmera de ré",Prata,"Carros, vans e utilitários",4 portas,,IPVA Pago,7400,2021,HYUNDAI HB20 VISION 1.6 FLEX 16V MEC,959463431,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-baixo-km-20-21-959463431,Elétrica,,8,Flex,Manual,1.6,,HYUNDAI
5,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré",Branco,"Carros, vans e utilitários",4 portas,Não,,103000,2015,GM - CHEVROLET S10 PICK-UP LT 2.5 FLEX 4X4 CD,964093438,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/s10-cd-2015-2-5-4x4-206cv-964093438,Hidráulica,Pick-up,6,Flex,Manual,2.0 - 2.9,Não,GM - CHEVROLET
6,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré, Câmera de ré",Preto,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,44000,2018,HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,964092659,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-1-8-exl-2018-964092659,Hidráulica,SUV,4,Flex,Automático,1.8,Sim,HONDA
7,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Alarme, Som",Cinza,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,22000,2019,GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,925046038,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/prisma-joy-2019-19-925046038,Hidráulica,Sedã,6,Flex,Manual,1.0,Não,GM - CHEVROLET
8,0,"Air bag, Trava elétrica, Ar condicionado, Direção hidráulica",Branco,"Carros, vans e utilitários",2 portas,Sim,IPVA Pago,75000,2018,GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,899327804,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/montana-ls-1-4-flex-17-18-899327804,Hidráulica,Pick-up,,Flex,Manual,1.4,,GM - CHEVROLET
9,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré",Branco,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,122011,2014,RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,952408586,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/duster-dynamic-2-0-automatica-952408586,Hidráulica,SUV,0,Flex,Automático,2.0 - 2.9,Não,RENAULT
10,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré, Câmera de ré",Branco,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,87603,2020,FORD RANGER XLS 2.2 4X4 CD DIESEL AUT.,947945634,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ranger-cd-xls-4x4-2-2-947945634,Elétrica,Pick-up,9,Diesel,Automático,2.0 - 2.9,Sim,FORD
11,0,"Vidro elétrico, Som",Prata,"Carros, vans e utilitários",2 portas,Não,,132000,2011,GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 3P,964090062,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/celta-2011-12-964090062,Mecânica,Hatch,5,Flex,Manual,1.0,Não,GM - CHEVROLET
12,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Som, Sensor de ré",Preto,"Carros, vans e utilitários",2 portas,Não,IPVA Pago,73000,2018,FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CE,964089951,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-18-18-1-4-hard-working-ce-964089951,Hidráulica,Van/Utilitário,6,Flex,Manual,1.4,Sim,FIAT
13,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Prata,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,180523,2005, ,938417737,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/xsara-picasso-2005-completa-938417737,Hidráulica,,4,Gasolina,Manual,1.6,Não,
14,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré, Câmera de ré",Preto,"Carros, vans e utilitários",4 portas,Não,"IPVA Pago, De leilão",32739,2020,TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,952730094,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2-0-preto-automatico-2019-2020-em-perfeito-estado-pneus-novos-952730094,Elétrica,Sedã,0,Flex,Automático,2.0 - 2.9,Não,TOYOTA
15,0,"Vidro elétrico, Trava elétrica, Ar condicionado, Alarme",,"Carros, vans e utilitários",4 portas,,,51051,2020,VW - VOLKSWAGEN POLO 1.0 FLEX 12V 5P,957882138,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/polo-2019-2020-1-0-mpi-total-flex-manual-957882138,,Passeio,5,Flex,Manual,,,VW - VOLKSWAGEN
16,0,"Vidro elétrico, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Câmera de ré",Verde,"Carros, vans e utilitários",4 portas,Sim,,307000,1998,GM - CHEVROLET VECTRA CD 2.2 16V / 2.0 16V MEC./AUT.,964086855,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vectra-cd-2-0-16-1998-964086855,Hidráulica,Sedã,3,Gasolina,Manual,2.0 - 2.9,Não,GM - CHEVROLET
