,UniqueId,PhotoPath,ListingType,ProductCode,LongComment,FipePercent,GoodDeal,Title,YearFabrication,YearModel,Odometer,Transmission,NumberPorts,BodyType,Armored,Make.id,Make.Value,Model.id,Model.Value,Version.id,Version.Value,Color.IdPrimary,Color.Primary,Price,SearchPrice,Id,SellerType,City,State,BudgetInvestimento,DealerScore,CarDelivery,TrocaComTroco,ExceededPlan,AdType.id,AdType.Value
0,36142252,2021\202103\20210319\jeep-compass-2.0-16v-flex-longitude-automatico-wmimagem14483594553.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento!",96.0,,JEEP COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO,2019,2020.0,41809.0,Automática,4,Utilitário esportivo,N,218,JEEP,3296,COMPASS,346882,2.0 16V FLEX LONGITUDE AUTOMÁTICO,30409,Prata,119900.0,119900.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
1,35172320,2021\202105\20210519\renault-logan-1.0-12v-sce-flex-zen-manual-wmimagem09334394958.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento! Outros Opcionais: Pára-choques na cor do veículo.",91.0,1.0,RENAULT LOGAN 1.0 12V SCE FLEX ZEN MANUAL,2019,2020.0,41168.0,Manual,4,Sedã,N,30,RENAULT,2804,LOGAN,348080,1.0 12V SCE FLEX ZEN MANUAL,30409,Prata,50990.0,50990.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
2,35567542,2021\202101\20210115\renault-logan-1.6-expression-8v-flex-4p-manual-wmimagem12321019591.jpg,U,1606,"Preço promocional para pagamento à vista  sem troca. 
Opcionais anunciados, quilometragem detalhes sobre o veículo devem ser conferidas pelo comprador na avaliação presencial. A Alvorada Veículos, se reserva o direito de corrigir erros gráficos e digitação. O preço e as condições de ofertas podem ser alterados sem aviso prévio.
ALVORADA VEÍCULOS, Garantia de Procedência, há 20 anos realizando sonhos e fazendo amigos !!!
+fotos acesse: alvoradaveiculos.com",96.0,,RENAULT LOGAN 1.6 EXPRESSION 8V FLEX 4P MANUAL,2016,2017.0,187958.0,Manual,4,Sedã,N,30,RENAULT,2804,LOGAN,343986,1.6 EXPRESSION 8V FLEX 4P MANUAL,30410,Preto,38800.0,38800.0,3850066,PJ,Três Lagoas,Mato Grosso do Sul (MS),0,3,True,True,False,1,Loja
3,35359168,2020\202012\20201222\fiat-linea-1.8-essence-16v-flex-4p-automatizado-wmimagem22022518697.jpg,U,1606,"Preço promocional para pagamento à vista  sem troca. 
Opcionais anunciados, quilometragem detalhes sobre o veículo devem ser conferidas pelo comprador na avaliação presencial. A Alvorada Veículos, se reserva o direito de corrigir erros gráficos e digitação. O preço e as condições de ofertas podem ser alterados sem aviso prévio.
ALVORADA VEÍCULOS, Garantia de Procedência, há 20 anos realizando sonhos e fazendo amigos !!!
+fotos acesse: alvoradaveiculos.com",106.0,,FIAT LINEA 1.8 ESSENCE 16V FLEX 4P AUTOMATIZADO,2013,2014.0,63268.0,Automática,4,Sedã,N,4,FIAT,2958,LINEA,343856,1.8 ESSENCE 16V FLEX 4P AUTOMATIZADO,30405,Cinza,35800.0,35800.0,3850066,PJ,Três Lagoas,Mato Grosso do Sul (MS),0,3,True,True,False,1,Loja
4,36226111,2021\202105\20210513\jeep-compass-2.0-16v-flex-longitude-automatico-wmimagem15010045569.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento! Outros Opcionais: Farol de neblina, Direção Elétrica, Comando de áudio no volante.",102.0,,JEEP COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO,2019,2019.0,44667.0,Automática,4,Utilitário esportivo,N,218,JEEP,3296,COMPASS,346882,2.0 16V FLEX LONGITUDE AUTOMÁTICO,30409,Prata,117740.0,117740.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
5,36533737,2021\202106\20210602\kia-sportage-2.0-ex-4x2-16v-flex-4p-automatico-wmimagem18473735617.jpg,U,2612," Outros Opcionais: Farol de neblina, Comando de áudio no volante, Controle de estabilidade, Distribuição eletrônica de frenagem, Kit Multimídia, MP3 Player, Pára-choques na cor do veículo.",103.0,,KIA SPORTAGE 2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO,2014,2015.0,141185.0,Automática,4,Utilitário esportivo,N,21,KIA,706,SPORTAGE,344177,2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO,30410,Preto,84000.0,84000.0,3851730,PJ,Três Lagoas,Mato Grosso do Sul (MS),0,3,True,True,False,1,Loja
6,36005180,2021\202106\20210601\ford-ka-1.5-tivct-flex-se-manual-wmimagem11031278324.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento! Outros Opcionais: Direção Elétrica, Pára-choques na cor do veículo.",105.0,,FORD KA 1.5 TI-VCT FLEX SE MANUAL,2018,2019.0,24170.0,Manual,4,Hatchback,N,3,FORD,703,KA,347771,1.5 TI-VCT FLEX SE MANUAL,30404,Branco,51160.0,51160.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
7,36229557,2021\202106\20210601\fiat-doblo-1.8-mpi-essence-7l-16v-flex-4p-manual-wmimagem10571748641.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento!",102.0,,FIAT DOBLÒ 1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,2019,2020.0,36772.0,Manual,4,Minivan,N,4,FIAT,1177,DOBLÒ,346842,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,30409,Prata,78030.0,78030.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
8,36371553,2021\202106\20210601\ford-ka-+-1.0-tivct-flex-se-manual-wmimagem10560779483.jpg,U,1606,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento! Outros Opcionais: Farol de neblina.",107.0,,FORD KA + 1.0 TI-VCT FLEX SE MANUAL,2017,2018.0,49403.0,Manual,4,Sedã,N,3,FORD,3459,KA +,345749,1.0 TI-VCT FLEX SE MANUAL,30409,Prata,45380.0,45380.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
9,34437923,2021\202105\20210519\volkswagen-polo-1.0-mpi-total-flex-manual-wmimagem09362548510.jpg,U,2612,"Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento! Outros Opcionais: Pára-choques na cor do veículo.",102.0,,VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,2019,2020.0,43824.0,Manual,4,Hatchback,N,5,VOLKSWAGEN,751,POLO,347404,1.0 MPI TOTAL FLEX MANUAL,30409,Prata,57490.0,57490.0,3856919,PJ,Campo Grande,Mato Grosso do Sul (MS),0,0,True,False,False,1,Loja
