Id_Anuncio_ShopCar,Unnamed: 0,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca
1089031,0,Corsa Sedan Wind 1.0,00/01,Cinza,Gasolina,178000.0,11000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-wind-1-0/00-01/1089031,Michel Sleiman,Campo Grande - MS,2000,2001,,Campo Grande , MS,,gm-chevrolet
1083815,1,Gol 1.0 16v 4p.,01/02,Cinza,Gasolina,170000.0,11600.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-16v-4p/01-02/1083815,Karina Brito,Campo Grande - MS,2001,2002,,Campo Grande , MS,,vw-volkswagen
1087298,2,Palio ELX 1.0 16v 4p.,00/01,Cinza,Gasolina,,12500.0,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-16v-4p/00-01/1087298,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2000,2001, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,fiat
1028651,3,Astra Sedan GLS 2.0,00/00,Prata,Gasolina,,12990.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-sedan-gls-2-0/00-00/1028651,Gauchinho Veículos,"Av. Hayel Bon Faker, 1247 - Jardim Água Boa - Dourados / MS",2000,2000, MS,"Av. Hayel Bon Faker, 1247 ", Jardim Água Boa , Dourados ,gm-chevrolet
1085433,4,Uno Mille Economy 1.0 Fire 2p.,09/10,Branca,Flex,,14300.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/09-10/1085433,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS",2009,2010, MS,"Av. Pres. Ernesto Geisel, 5701 ", Cabreúva , Campo Grande ,fiat
1069108,5,Pampa L 1.8,97/97,Prata,Kit Gás,,14800.0,https://www.shopcar.com.br/veiculos/ford/pampa-l-1-8/97-97/1069108,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS",1997,1997, MS,"Av. Pres. Ernesto Geisel, 5721 ", Cabreúva , Campo Grande ,ford
1084389,6,Clio Hatch 1.0 16v 2p.,11/11,Prata,Flex,101332.0,14990.0,https://www.shopcar.com.br/veiculos/renault/clio-hatch-1-0-16v-2p/11-11/1084389,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS",2011,2011, MS,"Rua 13 de Maio, 3843 ", Centro , Campo Grande ,renault
1088326,7,Uno Mille Economy 1.0 Fire 2p.,10/11,Vermelha,Flex,91000.0,15500.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/10-11/1088326,Rafael dos Santos Trindade,Campo Grande - MS,2010,2011,,Campo Grande , MS,,fiat
1083544,8,207 X-Line 1.4 2p.,10/10,Prata,Flex,134442.0,15900.0,https://www.shopcar.com.br/veiculos/peugeot/207-x-line-1-4-2p/10-10/1083544,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2010,2010, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,peugeot
1078472,9,Celta LS 1.0 2p.,11/12,Vermelha,Flex,127850.0,15990.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-ls-1-0-2p/11-12/1078472,Automóbile Multimarcas,"Av. Ricardo Brandão, 646 - Itanhangá Park - Campo Grande / MS",2011,2012, MS,"Av. Ricardo Brandão, 646 ", Itanhangá Park , Campo Grande ,gm-chevrolet
1089214,10,Parati 1.6,04/05,Branca,Flex,190000.0,16000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/parati-1-6/04-05/1089214,Amilton de Melo Ribas,Campo Grande - MS,2004,2005,,Campo Grande , MS,,vw-volkswagen
1066185,11,Gol 1.0 4p.,07/07,Preta,Flex,,16900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/07-07/1066185,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS",2007,2007, MS,"Av. Pres. Ernesto Geisel, 5701 ", Cabreúva , Campo Grande ,vw-volkswagen
1087319,12,Stilo 1.8,08/08,Cinza,Flex,120000.0,16900.0,https://www.shopcar.com.br/veiculos/fiat/stilo-1-8/08-08/1087319,Aparecido Carlos de Oliveira,Campo Grande - MS,2008,2008,,Campo Grande , MS,,fiat
