,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
0,Corsa Sedan Wind 1.0,00/01,Cinza,Gasolina,178.000 Km,"R$ 11.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-wind-1-0/00-01/1089031,Michel Sleiman,Campo Grande - MS
1,Gol 1.0 16v 4p.,01/02,Cinza,Gasolina,170.000 Km,"R$ 11.600,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-16v-4p/01-02/1083815,Karina Brito,Campo Grande - MS
2,Palio ELX 1.0 16v 4p.,00/01,Cinza,Gasolina,Não disponível,"R$ 12.500,00",https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-16v-4p/00-01/1087298,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS"
3,Astra Sedan GLS 2.0,00/00,Prata,Gasolina,Não disponível,"R$ 12.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-sedan-gls-2-0/00-00/1028651,Gauchinho Veículos,"Av. Hayel Bon Faker, 1247 - Jardim Água Boa - Dourados / MS"
4,Uno Mille Economy 1.0 Fire 2p.,09/10,Branca,Flex,Não disponível,"R$ 14.300,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/09-10/1085433,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS"
5,Pampa L 1.8,97/97,Prata,Kit Gás,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/ford/pampa-l-1-8/97-97/1069108,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS"
6,Clio Hatch 1.0 16v 2p.,11/11,Prata,Flex,101.332 Km,"R$ 14.990,00",https://www.shopcar.com.br/veiculos/renault/clio-hatch-1-0-16v-2p/11-11/1084389,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
7,Uno Mille Economy 1.0 Fire 2p.,10/11,Vermelha,Flex,91.000 Km,"R$ 15.500,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/10-11/1088326,Rafael dos Santos Trindade,Campo Grande - MS
8,207 X-Line 1.4 2p.,10/10,Prata,Flex,134.442 Km,"R$ 15.900,00",https://www.shopcar.com.br/veiculos/peugeot/207-x-line-1-4-2p/10-10/1083544,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
9,Celta LS 1.0 2p.,11/12,Vermelha,Flex,127.850 Km,"R$ 15.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-ls-1-0-2p/11-12/1078472,Automóbile Multimarcas,"Av. Ricardo Brandão, 646 - Itanhangá Park - Campo Grande / MS"
10,Parati 1.6,04/05,Branca,Flex,190.000 Km,"R$ 16.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/parati-1-6/04-05/1089214,Amilton de Melo Ribas,Campo Grande - MS
11,Gol 1.0 4p.,07/07,Preta,Flex,Não disponível,"R$ 16.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/07-07/1066185,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS"
12,Stilo 1.8,08/08,Cinza,Flex,120.000 Km,"R$ 16.900,00",https://www.shopcar.com.br/veiculos/fiat/stilo-1-8/08-08/1087319,Aparecido Carlos de Oliveira,Campo Grande - MS
13,207 XR 1.4 4p.,11/12,Preta,Flex,Não disponível,"R$ 17.200,00",https://www.shopcar.com.br/veiculos/peugeot/207-xr-1-4-4p/11-12/1088827,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
14,Celta Life 1.0 4p.,07/08,Preta,Flex,Não disponível,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/07-08/1088274,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
15,Celta Life 1.0 4p.,06/07,Branca,Flex,190.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/06-07/1078400,Vale Veículos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclimação - Campo Grande / MS"
16,Corsa Sedan Classic LS 1.0,10/11,Azul,Flex,82.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/10-11/1067664,Art Motors,"Av. Bandeirantes, 242 - Amambaí - Campo Grande / MS"
17,Siena ELX 1.4,07/07,Prata,Flex,127.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/fiat/siena-elx-1-4/07-07/1090015,Weld Vicente de Carlos,Campo Grande - MS
18,Fox Plus 1.6 4p.,05/06,Preta,Flex,190.508 Km,"R$ 17.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-plus-1-6-4p/05-06/1070544,Pelegrinelli Veículos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS"
19,Corsa Sedan Classic Life 1.0,10/10,Bege,Flex,Não disponível,"R$ 18.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/10-10/1077047,Jefferson de Morais Cardoso,Campo Grande - MS
20,Corsa Sedan Wind 1.0,00/01,Cinza,Gasolina,178.000 Km,"R$ 11.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-wind-1-0/00-01/1089031,Michel Sleiman,Campo Grande - MS
21,Gol 1.0 16v 4p.,01/02,Cinza,Gasolina,170.000 Km,"R$ 11.600,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-16v-4p/01-02/1083815,Karina Brito,Campo Grande - MS
22,Palio ELX 1.0 16v 4p.,00/01,Cinza,Gasolina,Não disponível,"R$ 12.500,00",https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-16v-4p/00-01/1087298,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS"
23,Astra Sedan GLS 2.0,00/00,Prata,Gasolina,Não disponível,"R$ 12.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-sedan-gls-2-0/00-00/1028651,Gauchinho Veículos,"Av. Hayel Bon Faker, 1247 - Jardim Água Boa - Dourados / MS"
24,Uno Mille Economy 1.0 Fire 2p.,09/10,Branca,Flex,Não disponível,"R$ 14.300,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/09-10/1085433,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS"
25,Pampa L 1.8,97/97,Prata,Kit Gás,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/ford/pampa-l-1-8/97-97/1069108,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS"
26,Clio Hatch 1.0 16v 2p.,11/11,Prata,Flex,101.332 Km,"R$ 14.990,00",https://www.shopcar.com.br/veiculos/renault/clio-hatch-1-0-16v-2p/11-11/1084389,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
27,Uno Mille Economy 1.0 Fire 2p.,10/11,Vermelha,Flex,91.000 Km,"R$ 15.500,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/10-11/1088326,Rafael dos Santos Trindade,Campo Grande - MS
28,207 X-Line 1.4 2p.,10/10,Prata,Flex,134.442 Km,"R$ 15.900,00",https://www.shopcar.com.br/veiculos/peugeot/207-x-line-1-4-2p/10-10/1083544,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
29,Celta LS 1.0 2p.,11/12,Vermelha,Flex,127.850 Km,"R$ 15.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-ls-1-0-2p/11-12/1078472,Automóbile Multimarcas,"Av. Ricardo Brandão, 646 - Itanhangá Park - Campo Grande / MS"
30,Parati 1.6,04/05,Branca,Flex,190.000 Km,"R$ 16.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/parati-1-6/04-05/1089214,Amilton de Melo Ribas,Campo Grande - MS
31,Gol 1.0 4p.,07/07,Preta,Flex,Não disponível,"R$ 16.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/07-07/1066185,RL Veículos,"Av. Pres. Ernesto Geisel, 5701 - Cabreúva - Campo Grande / MS"
32,Stilo 1.8,08/08,Cinza,Flex,120.000 Km,"R$ 16.900,00",https://www.shopcar.com.br/veiculos/fiat/stilo-1-8/08-08/1087319,Aparecido Carlos de Oliveira,Campo Grande - MS
33,207 XR 1.4 4p.,11/12,Preta,Flex,Não disponível,"R$ 17.200,00",https://www.shopcar.com.br/veiculos/peugeot/207-xr-1-4-4p/11-12/1088827,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
34,Celta Life 1.0 4p.,07/08,Preta,Flex,Não disponível,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/07-08/1088274,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
35,Celta Life 1.0 4p.,06/07,Branca,Flex,190.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/06-07/1078400,Vale Veículos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclimação - Campo Grande / MS"
36,Corsa Sedan Classic LS 1.0,10/11,Azul,Flex,82.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/10-11/1067664,Art Motors,"Av. Bandeirantes, 242 - Amambaí - Campo Grande / MS"
37,Siena ELX 1.4,07/07,Prata,Flex,127.000 Km,"R$ 17.900,00",https://www.shopcar.com.br/veiculos/fiat/siena-elx-1-4/07-07/1090015,Weld Vicente de Carlos,Campo Grande - MS
38,Fox Plus 1.6 4p.,05/06,Preta,Flex,190.508 Km,"R$ 17.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-plus-1-6-4p/05-06/1070544,Pelegrinelli Veículos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS"
39,Corsa Sedan Classic Life 1.0,10/10,Bege,Flex,Não disponível,"R$ 18.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/10-10/1077047,Jefferson de Morais Cardoso,Campo Grande - MS
40,J3 1.4 16v,13/14,Preta,Gasolina,148.800 Km,"R$ 18.800,00",https://www.shopcar.com.br/veiculos/jac/j3-1-4-16v/13-14/1082762,Rudy Caetano Mustafá,Campo Grande - MS
41,Scenic Expression 1.6 16v,06/07,Prata,Flex,115.000 Km,"R$ 18.800,00",https://www.shopcar.com.br/veiculos/renault/scenic-expression-1-6-16v/06-07/1078670,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS"
42,C3 Hatch Exclusive 1.4,10/11,Preta,Flex,106.000 Km,"R$ 18.900,00",https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-4/10-11/1090163,Montana Veículos,"Rua José Antonio, 114 - Vila Rosa Pires - Campo Grande / MS"
43,Gol 1.6 4p.,07/08,Prata,Flex,Não disponível,"R$ 18.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/07-08/1073044,BMZ Negócios,"Rua Antônio Viêira, 429 - Bela Vista - Campo Grande / MS"
44,Palio Celebration 1.0 4p.,06/07,Prata,Flex,Não disponível,"R$ 18.900,00",https://www.shopcar.com.br/veiculos/fiat/palio-celebration-1-0-4p/06-07/1079789,Interauto Automóveis,"Rua Ceará, 2594 - Vila Rica - Campo Grande / MS"
45,Ka 1.0,11/12,Preta,Flex,109.375 Km,"R$ 18.990,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/11-12/1085290,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
46,Chevette SL 1.6 A/T,90/90,Dourada,Etanol,Não disponível,"R$ 19.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/chevette-sl-1-6/90-90/1088503,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
47,Polo Sedan 1.6,04/04,Prata,Gasolina,Não disponível,"R$ 19.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/polo-sedan-1-6/04-04/1088355,Federal Car,"Av. Bandeirantes, 2236 - Nova Bandeirantes - Campo Grande / MS"
48,Palio ELX 1.0 16v 4p.,07/08,Vermelha,Flex,170.000 Km,"R$ 19.990,00",https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-16v-4p/07-08/1089247,Pelegrinelli Veículos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS"
49,EcoSport XLS Freestyle 1.6,06/07,Preta,Flex,217.700 Km,"R$ 20.500,00",https://www.shopcar.com.br/veiculos/ford/ecosport-xls-freestyle-1-6/06-07/1088750,Silveira de Almeida Santos,Campo Grande - MS
50,J3 Turin Brasil 1.4 16v,11/12,Branca,Gasolina,107.000 Km,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/jac/j3-turin-brasil-1-4-16v/11-12/1056224,Art Motors,"Av. Bandeirantes, 242 - Amambaí - Campo Grande / MS"
51,C3 Hatch GLX 1.4,08/09,Prata,Flex,73.947 Km,"R$ 20.990,00",https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-glx-1-4/08-09/1064784,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
52,Fiorino Furgão 1.3,07/07,Branca,Flex,Não disponível,"R$ 20.990,00",https://www.shopcar.com.br/veiculos/fiat/fiorino-furg-o-1-3/07-07/1087510,Jefferson de Morais Cardoso,Campo Grande - MS
53,J6 2.0 16v,12/12,Preta,Gasolina,70.000 Km,"R$ 21.000,00",https://www.shopcar.com.br/veiculos/jac/j6-2-0-16v/12-12/1084045,Cássio Henrique da Silva ,Campo Grande - MS
54,Corsa Sedan Classic Life 1.0,09/10,Prata,Flex,115.000 Km,"R$ 21.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/09-10/1068545,Art Motors,"Av. Bandeirantes, 242 - Amambaí - Campo Grande / MS"
55,Fiesta Hatch 1.6 4p.,10/10,Prata,Flex,Não disponível,"R$ 21.500,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-6-4p/10-10/1087557,Leão Automóveis,"Av. Bandeirantes, 662 - Amambai - Campo Grande / MS"
56,Ka 1.0,12/13,Preta,Flex,98.000 Km,"R$ 21.500,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-13/1081611,Vale Veículos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclimação - Campo Grande / MS"
57,Monza SL/E 2.0,91/91,Vermelha,Gasolina,73.124 Km,"R$ 21.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/monza-sl-e-2-0/91-91/1085041,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
58,Celta Life 1.0 4p.,11/11,Preta,Flex,112.321 Km,"R$ 21.700,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/11-11/1069464,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
