Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1102301,Corsa Hatch Maxx 1.0 4p.,Prata,Flex,,14600.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-maxx-1-0-4p/05-05/1102301,Elite Ve�culos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS",2005,2005, MS,"Av. Ernesto Geisel, 5990 ", Centro , Campo Grande ,gm-chevrolet,01/01/2022
1134631,Uno Mille Economy 1.0 Fire 2p.,Vermelha,Flex,149500.0,15900.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/10-11/1134631,Jean Carlos da Silva Cunha,Campo Grande - MS,2010,2011,,Campo Grande , MS,,fiat,01/01/2022
1145202,Ka 1.0,Preta,Flex,135000.0,16500.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/09-10/1145202,Ant�nio Monzon Queiroz,Campo Grande - MS,2009,2010,,Campo Grande , MS,,ford,01/01/2022
1119105,Celta Spirit 1.0 2p.,Prata,Flex,,16900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-spirit-1-0-2p/09-10/1119105,M.G.R. Ve�culos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS",2009,2010, MS,"Av. Afonso Pena, 3865 ", Centro , Campo Grande ,gm-chevrolet,01/01/2022
1134408,Ka 1.0,Preta,Flex,75000.0,18500.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/09-09/1134408,Huracam Motors,"Rua Eduardo Elias Zarhan, 1934 - Jardim TV Morena - Campo Grande / MS",2009,2009, MS,"Rua Eduardo Elias Zarhan, 1934 ", Jardim TV Morena , Campo Grande ,ford,01/01/2022
1136345,Uno Mille 1.0 Fire 4p.,Preta,Gasolina,180000.0,18900.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/04-05/1136345,BSG Ve�culos,"Av. Cel. Antonino, 2053 - Conj. Res. Estrela do Sul - Campo Grande / MS",2004,2005, MS,"Av. Cel. Antonino, 2053 ", Conj. Res. Estrela do Sul , Campo Grande ,fiat,01/01/2022
1131410,Fiesta Hatch Trail 1.0 4p.,Preta,Gasolina,186629.0,19000.0,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-trail-1-0-4p/06-06/1131410,Mariana Nakada,Campo Grande - MS,2006,2006,,Campo Grande , MS,,ford,01/01/2022
1139986,Clio Hatch Campus 1.0 16v 4p.,Preta,Flex,103000.0,20000.0,https://www.shopcar.com.br/veiculos/renault/clio-hatch-campus-1-0-16v-4p/10-11/1139986,Gennyson Hugo Silva Pereira,Campo Grande - MS,2010,2011,,Campo Grande , MS,,renault,01/01/2022
1144243,Doblo Cargo 1.3 16v,Branca,Gasolina,230000.0,20000.0,https://www.shopcar.com.br/veiculos/fiat/doblo-cargo-1-3-16v/05-06/1144243,Luciano Kivel,Campo Grande - MS,2005,2006,,Campo Grande , MS,,fiat,01/01/2022
1114104,Xsara Picasso GLX 1.6 16v,Preta,Flex,125000.0,21800.0,https://www.shopcar.com.br/veiculos/citro-n/xsara-picasso-glx-1-6-16v/10-11/1114104,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2010,2011, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,citro-n,01/01/2022
1112370,Logan Expression 1.6,Prata,Flex,,21990.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-6/08-09/1112370,KV Ve�culos,"R. Alegrete, 2139 - Cel. Antonino - Campo Grande / MS",2008,2009, MS,"R. Alegrete, 2139 ", Cel. Antonino , Campo Grande ,renault,01/01/2022
1142982,Palio Economy 1.0 4p.,Branca,Flex,76217.0,23500.0,https://www.shopcar.com.br/veiculos/fiat/palio-economy-1-0-4p/10-10/1142982,Juliane de Oliveira  Moreno,Corumb� - MS,2010,2010,,Corumb� , MS,,fiat,01/01/2022
1141639,Palio ELX 1.0 4p.,Branca,Flex,126000.0,23600.0,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-4p/09-10/1141639,Elite Ve�culos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS",2009,2010, MS,"Av. Ernesto Geisel, 5990 ", Centro , Campo Grande ,fiat,01/01/2022
1136086,Fiesta Hatch 1.0 4p.,Preta,Flex,,23900.0,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-0-4p/11-11/1136086,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2011,2011, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,ford,01/01/2022
1111693,J3 Turin Brasil 1.4 16v,Branca,Gasolina,115752.0,23900.0,https://www.shopcar.com.br/veiculos/jac/j3-turin-brasil-1-4-16v/11-12/1111693,Art Motors,"Av. Bandeirantes, 242 - Amamba� - Campo Grande / MS",2011,2012, MS,"Av. Bandeirantes, 242 ", Amamba� , Campo Grande ,jac,01/01/2022
1140743,Ka 1.0,Preta,Flex,69589.0,23990.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-13/1140743,Pelegrinelli Ve�culos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS",2012,2013, MS,"Av. Rachid Neder, 696 ", Monte Castelo , Campo Grande ,ford,01/01/2022
1141994,Palio Economy 1.0 4p.,Prata,Flex,83500.0,24400.0,https://www.shopcar.com.br/veiculos/fiat/palio-economy-1-0-4p/10-10/1141994,Alaor Fialho de Castro,Campo Grande - MS,2010,2010,,Campo Grande , MS,,fiat,01/01/2022
1082642,AirCross Live 1.6 16v,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/aircross-live-1-6-16v/15-16/1082642,Saad Motors,"Av. Fernando Correa da Costa, 1067 - Centro - Campo Grande / MS",2015,2016, MS,"Av. Fernando Correa da Costa, 1067 ", Centro , Campo Grande ,citro-n,01/01/2022
1139263,Civic LX 1.7 16v,Preta,Gasolina,,,https://www.shopcar.com.br/veiculos/honda/civic-lx-1-7-16v/02-02/1139263,Mclaren Autom�veis,"Av. Bandeirantes, 1246 - Vila Bandeirante - Campo Grande / MS",2002,2002, MS,"Av. Bandeirantes, 1246 ", Vila Bandeirante , Campo Grande ,honda,01/01/2022
1077446,Compass Limited 2.0 16v A/T,Branca,Flex,37000.0,,https://www.shopcar.com.br/veiculos/jeep/compass-limited-2-0-16v/17-18/1077446,RM Ve�culos,"Rua Rubens Gil de Camilo, 300 - Ch�cara Cachoeira - Campo Grande / MS",2017,2018, MS,"Rua Rubens Gil de Camilo, 300 ", Ch�cara Cachoeira , Campo Grande ,jeep,01/01/2022
1102324,Cruze LT 1.8 16v A/T,Verde,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/cruze-lt-1-8-16v/12-12/1102324,M.G.R. Ve�culos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS",2012,2012, MS,"Av. Afonso Pena, 3865 ", Centro , Campo Grande ,gm-chevrolet,01/01/2022
1028180,Acadia SLT 3.6 V6 A/T,Prata,Gasolina,28634.0,279900.0,https://www.shopcar.com.br/veiculos/gmc/acadia-slt-3-6-v6/14-14/1028180,SF Carros e Camionetas,"Rua Joaquim Murtinho, 2121 - Itanhang� Park - Campo Grande / MS",2014,2014, MS,"Rua Joaquim Murtinho, 2121 ", Itanhang� Park , Campo Grande ,gmc,01/01/2022
1118275,Hilux SW4 SRX D4-D 2.8TDi 16v A/T,Bordo,Diesel,79900.0,279900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-srx-d4-d-2-8tdi-16v/18-19/1118275,JJ Ve�culos e Neg�cios,"Av. das Bandeiras, 50 - Vila Carvalho - Campo Grande / MS",2018,2019, MS,"Av. das Bandeiras, 50 ", Vila Carvalho , Campo Grande ,toyota,01/01/2022
1116643,Hilux SW4 SRX D4-D 2.8TDi 16v,Branca,Flex,79000.0,279900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-srx-d4-d-2-8tdi-16v/18-18/1116643,Pantanal Ve�culos,"Rua Vit�ria, 1084 - Centro - Rio Verde de Mato Grosso / MS",2018,2018, MS,"Rua Vit�ria, 1084 ", Centro , Rio Verde de Mato Grosso ,toyota,01/01/2022
1112875,Q7 Ambition 3.0 V6 TFSi 24v Quattro A/T,Cinza,Gasolina,91000.0,279900.0,https://www.shopcar.com.br/veiculos/audi/q7-ambition-3-0-v6-tfsi-24v-quattro/17-18/1112875,Concept Car,"Rua Alagoas, 273 - Jardim dos Estados - Campo Grande / MS",2017,2018, MS,"Rua Alagoas, 273 ", Jardim dos Estados , Campo Grande ,audi,01/01/2022
1135926,TrailBlazer Premier 2.8CTDi 16v 4x4 A/T,Branca,Diesel,38781.0,279900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/trailblazer-premier-2-8ctdi-16v-4x4/19-20/1135926,Unique Autom�veis,"Rua Prof. Lu�s Alexandre de Oliveira, 255 - Vivenda do Bosque - Campo Grande / MS",2019,2020, MS,"Rua Prof. Lu�s Alexandre de Oliveira, 255 ", Vivenda do Bosque , Campo Grande ,gm-chevrolet,01/01/2022
